installment_id,customer_id,device_id,monthly_amount_usd,remaining_months
IN00698,C01713,DV01615,10.51,0
IN00699,C01003,DV01281,39.47,6
IN00700,C02366,DV01626,42.99,12
IN00701,C01981,DV01087,27.65,21
IN00702,C02008,DV01072,26.76,15
IN00703,C02988,DV00299,32.36,18
IN00704,C02710,DV00708,16.11,22
IN00705,C02330,DV00401,9.34,10
IN00706,C01502,DV00918,39.77,5
IN00707,C02974,DV01139,7.85,14
IN00708,C02693,DV00774,12.91,4
IN00709,C01201,DV00728,5.05,7
IN00710,C01161,DV01636,15.95,5
IN00711,C02242,DV01220,40.51,10
IN00712,C01927,DV01225,11.61,4
IN00713,C01371,DV00362,41.85,5
IN00714,C02607,DV01053,32.35,4
IN00715,C02243,DV01645,11.73,20
IN00716,C01021,DV00978,42.94,1
IN00717,C02372,DV00438,40.54,1
IN00718,C02464,DV01719,39.28,3
IN00719,C02048,DV01381,8.58,1
IN00720,C01763,DV00398,24.07,24
IN00721,C02172,DV00392,10.26,15
IN00722,C02289,DV00337,7.54,11
IN00723,C02448,DV00047,14.52,1
IN00724,C02853,DV00748,13.10,0
IN00725,C02363,DV01486,18.62,10
IN00726,C02627,DV00732,12.96,5
IN00727,C02367,DV00769,18.58,24
IN00728,C01400,DV01121,14.36,18
IN00729,C02284,DV01690,7.42,1
IN00730,C02971,DV00717,30.15,2
IN00731,C01204,DV01257,28.80,22
IN00732,C01257,DV00016,30.77,9
IN00733,C01032,DV00623,28.39,5
IN00734,C01288,DV01661,13.68,21
IN00735,C02198,DV00051,10.45,19
IN00736,C02921,DV00360,20.72,17
IN00737,C01627,DV00967,6.60,18
IN00738,C02991,DV01715,39.09,23
IN00739,C01594,DV01643,28.16,9
IN00740,C02881,DV01784,26.08,14
IN00741,C02515,DV01611,36.79,5
IN00742,C01459,DV01319,40.64,3
IN00743,C01417,DV01377,19.25,18
IN00744,C01955,DV00141,23.94,4
IN00745,C02545,DV01358,44.40,17
IN00746,C01665,DV00312,10.15,20
IN00747,C02978,DV01313,43.59,7
IN00748,C02451,DV00147,20.77,19
IN00749,C01394,DV01255,22.10,9
IN00750,C02031,DV00606,17.40,9
IN00751,C02660,DV01388,8.09,15
IN00752,C01567,DV00754,17.77,8
IN00753,C02583,DV01507,9.23,19
IN00754,C01380,DV00508,7.29,2
IN00755,C02295,DV00234,8.53,0
IN00756,C01763,DV01761,40.67,4
IN00757,C01556,DV01138,34.85,8
IN00758,C02559,DV01342,6.65,1
IN00759,C01531,DV01387,14.33,12
IN00760,C01006,DV00076,6.40,8
IN00761,C02353,DV01510,18.73,12
IN00762,C02127,DV00851,14.58,5
IN00763,C02473,DV01403,17.99,7
IN00764,C02536,DV01283,22.08,10
IN00765,C02712,DV00200,32.45,4
IN00766,C02426,DV00019,44.93,7
IN00767,C02919,DV01285,26.87,5
IN00768,C01574,DV00856,12.38,10
IN00769,C01422,DV01791,44.92,17
IN00770,C01376,DV00408,43.17,24
IN00771,C02555,DV00773,41.09,8
IN00772,C01495,DV00453,27.07,12
IN00773,C02947,DV01251,11.03,17
IN00774,C01984,DV01309,19.57,24
IN00775,C01885,DV00514,34.41,6
IN00776,C02787,DV01798,33.32,9
IN00777,C01350,DV00511,11.72,24
IN00778,C02845,DV01279,33.52,13
IN00779,C01648,DV00318,24.31,5
IN00780,C01621,DV00621,20.40,23
IN00781,C02445,DV00135,5.03,19
IN00782,C01923,DV01710,17.91,1
IN00783,C02242,DV00414,6.88,20
IN00784,C02265,DV00027,19.45,2
IN00785,C01287,DV00382,36.63,22
IN00786,C01912,DV00129,5.75,22
IN00787,C01690,DV00709,33.46,6
IN00788,C02553,DV00302,27.32,22
IN00789,C01704,DV00315,41.12,11
IN00790,C01217,DV01233,39.73,10
IN00791,C02494,DV00553,31.82,22
IN00792,C01039,DV00947,42.82,11
IN00793,C01037,DV00287,18.77,24
IN00794,C01073,DV00791,34.89,14
IN00795,C01286,DV01034,14.25,22
IN00796,C02203,DV00443,36.39,15
IN00797,C01408,DV00188,12.39,15
IN00798,C02355,DV01085,9.50,10
IN00799,C01783,DV00779,5.21,1
IN00800,C02400,DV01281,11.95,6
IN00801,C01168,DV01300,41.72,8
IN00802,C01349,DV01462,42.68,7
IN00803,C02912,DV00967,33.38,18
IN00804,C02241,DV00007,38.55,21
IN00805,C01713,DV00501,10.71,13
IN00806,C02680,DV00637,41.50,22
IN00807,C01747,DV01395,23.31,12
IN00808,C01787,DV01716,10.80,12
IN00809,C01693,DV00308,25.77,1
IN00810,C02099,DV01289,42.99,20
IN00811,C02782,DV00280,12.72,9
IN00812,C02493,DV01211,26.27,24
IN00813,C01392,DV00561,20.42,1
IN00814,C02816,DV01323,5.62,5
IN00815,C02541,DV00169,13.35,8
IN00816,C02396,DV01188,42.05,21
IN00817,C01486,DV01474,35.05,13
IN00818,C01096,DV00188,21.97,9
IN00819,C01243,DV01063,22.35,20
IN00820,C02307,DV01150,11.03,7
IN00821,C02148,DV00041,39.11,24
IN00822,C02898,DV01644,25.77,21
IN00823,C02181,DV00727,10.60,12
IN00824,C01893,DV01732,14.42,20
IN00825,C01649,DV01483,42.75,17
IN00826,C01696,DV00995,11.63,9
IN00827,C02355,DV01543,30.25,12
IN00828,C02055,DV00172,37.14,19
IN00829,C02744,DV00296,41.92,0
IN00830,C02841,DV00323,18.78,20
IN00831,C02691,DV00115,28.51,7
IN00832,C02324,DV01691,24.37,20
IN00833,C02248,DV00709,41.91,19
IN00834,C02392,DV00993,43.24,23
IN00835,C01560,DV00086,30.04,19
IN00836,C01185,DV01264,19.85,22
IN00837,C02909,DV00024,37.14,17
IN00838,C01202,DV00065,22.87,22
IN00839,C01861,DV00272,18.11,17
IN00840,C02947,DV01064,35.92,0
IN00841,C01007,DV00498,25.13,23
IN00842,C02439,DV00833,35.17,7
IN00843,C01346,DV01287,27.42,16
IN00844,C02040,DV00236,31.20,23
IN00845,C01908,DV00290,30.25,22
IN00846,C01470,DV00037,23.82,3
IN00847,C01258,DV00859,14.80,18
IN00848,C02217,DV01695,6.88,20
IN00849,C02062,DV00234,15.54,20
IN00850,C01415,DV00813,28.24,17
IN00851,C01031,DV00733,29.60,19
IN00852,C01595,DV01214,21.40,12
IN00853,C01606,DV00132,37.84,7
IN00854,C02381,DV00623,22.08,12
IN00855,C01721,DV00167,6.03,3
IN00856,C01084,DV01084,27.52,21
IN00857,C01636,DV00579,8.43,24
IN00858,C02112,DV00138,19.27,2
IN00859,C02130,DV00581,42.74,19
IN00860,C02164,DV00947,15.50,18
IN00861,C02205,DV00235,15.14,15
IN00862,C01817,DV00084,41.56,5
IN00863,C01157,DV01571,26.48,19
IN00864,C02339,DV01480,39.25,19
IN00865,C01755,DV01222,38.52,22
IN00866,C02510,DV00403,15.93,3
IN00867,C01671,DV00747,40.74,16
IN00868,C02391,DV00385,21.32,22
IN00869,C02101,DV00874,30.79,14
IN00870,C01211,DV00191,18.19,12
IN00871,C01318,DV01253,24.18,9
IN00872,C01995,DV01206,16.13,16
IN00873,C02964,DV01680,9.13,8
IN00874,C02612,DV00185,24.63,3
IN00875,C02867,DV00617,11.14,2
IN00876,C02373,DV01711,36.17,22
IN00877,C01947,DV01230,28.16,16
IN00878,C02859,DV00889,43.80,7
IN00879,C01449,DV01542,5.98,6
IN00880,C01810,DV01539,25.44,12
IN00881,C02016,DV00550,17.00,22
IN00882,C02428,DV01344,36.23,9
IN00883,C01559,DV00982,31.51,10
IN00884,C02271,DV00079,30.36,19
IN00885,C02155,DV00859,24.00,24
IN00886,C01018,DV00711,10.16,18
IN00887,C02356,DV01124,10.35,7
IN00888,C02052,DV00851,23.09,17
IN00889,C02715,DV01102,27.56,17
IN00890,C02823,DV00827,14.09,8
IN00891,C01191,DV00956,21.44,15
IN00892,C01245,DV01567,5.28,16
IN00893,C02544,DV00596,34.73,2
IN00894,C01515,DV00624,44.03,12
IN00895,C02330,DV01457,27.84,20
IN00896,C02763,DV00808,6.31,8
IN00897,C02410,DV01023,11.52,8
IN00898,C01377,DV00068,22.84,6
IN00899,C02199,DV00811,14.47,0
IN00900,C02828,DV00614,5.83,17
IN00901,C01591,DV00862,22.76,22
IN00902,C02841,DV01262,10.84,19
IN00903,C01173,DV01751,22.35,1
IN00904,C02352,DV00177,8.51,10
IN00905,C02943,DV01170,18.11,2
IN00906,C02262,DV00502,29.29,8
IN00907,C02871,DV00505,35.73,4
IN00908,C02488,DV01188,37.42,14
IN00909,C02555,DV01048,9.96,20
IN00910,C02140,DV01413,41.02,14
IN00911,C02695,DV01334,7.13,6
IN00912,C02838,DV00873,21.50,3
IN00913,C02700,DV01626,42.76,0
IN00914,C02687,DV00927,7.08,16
IN00915,C02509,DV01618,11.61,2
IN00916,C01026,DV00851,36.24,24
IN00917,C01153,DV00851,13.35,19
IN00918,C02301,DV00441,27.19,2
IN00919,C02540,DV00443,18.03,3
IN00920,C01949,DV01055,39.58,15
IN00921,C02799,DV01777,33.20,14
IN00922,C01089,DV00203,6.34,13
IN00923,C02800,DV01656,22.94,17
IN00924,C02496,DV00021,6.37,6
IN00925,C02577,DV01190,30.01,0
IN00926,C02393,DV00773,37.42,5
IN00927,C02930,DV01553,6.08,12
IN00928,C02801,DV00593,16.30,0
IN00929,C02601,DV01062,9.34,20
IN00930,C02722,DV01696,14.53,6
IN00931,C02619,DV00832,8.94,2
IN00932,C02926,DV00486,29.56,12
IN00933,C01450,DV01340,27.39,24
IN00934,C02686,DV01613,30.88,10
IN00935,C02691,DV00717,36.72,7
IN00936,C01645,DV00406,35.25,15
IN00937,C02568,DV00858,44.91,23
IN00938,C02534,DV01670,22.56,6
IN00939,C02240,DV01306,6.58,6
IN00940,C02712,DV00011,21.14,2
IN00941,C02098,DV00275,44.89,12
IN00942,C02432,DV01701,15.51,23
IN00943,C02850,DV00519,21.40,13
IN00944,C02607,DV01648,21.92,0
IN00945,C01786,DV00056,25.90,4
IN00946,C02153,DV00024,35.47,2
IN00947,C02032,DV00976,15.41,1
IN00948,C02107,DV00316,13.83,8
IN00949,C02556,DV00252,18.63,9
IN00950,C02480,DV01274,25.12,20
IN00951,C01891,DV00710,20.25,4
IN00952,C01878,DV00198,5.49,8
IN00953,C02596,DV00028,25.52,0
IN00954,C01456,DV00086,16.67,6
IN00955,C02301,DV00373,14.52,16
IN00956,C01114,DV00892,36.81,19
IN00957,C01567,DV00961,7.19,23
IN00958,C01181,DV00244,40.33,9
IN00959,C02250,DV00606,14.36,11
IN00960,C01704,DV01310,44.71,10
IN00961,C01546,DV01379,13.67,18
IN00962,C01195,DV01321,19.62,20
IN00963,C01002,DV01072,14.75,5
IN00964,C01822,DV00007,29.69,22
IN00965,C02233,DV01267,40.91,3
IN00966,C01668,DV00648,16.52,5
IN00967,C02368,DV01639,44.22,2
IN00968,C02210,DV00772,21.07,9
IN00969,C02983,DV00496,34.32,10
IN00970,C02874,DV01217,15.00,5
IN00971,C02750,DV00069,31.29,24
IN00972,C02208,DV00775,40.70,23
IN00973,C02513,DV00975,6.32,20
IN00974,C02486,DV00542,10.50,8
IN00975,C01501,DV00286,19.58,13
IN00976,C02667,DV01423,17.09,11
IN00977,C01075,DV00742,22.92,4
IN00978,C01659,DV01596,10.05,3
IN00979,C01212,DV00737,27.97,13
IN00980,C01732,DV01326,7.79,1
IN00981,C02441,DV01660,11.06,19
IN00982,C02830,DV01318,42.23,6
IN00983,C01126,DV01553,29.09,9
IN00984,C01157,DV00755,8.16,20
IN00985,C01511,DV00826,29.23,19
IN00986,C02480,DV01695,12.74,22
IN00987,C01965,DV00109,12.61,18
IN00988,C02104,DV01393,14.15,16
IN00989,C01623,DV00176,26.59,18
IN00990,C02451,DV00244,30.89,0
IN00991,C01671,DV01542,44.12,22
IN00992,C02997,DV01520,40.67,14
IN00993,C02003,DV01644,28.09,21
IN00994,C02649,DV00181,27.91,21
IN00995,C02044,DV00968,36.47,21
IN00996,C02788,DV01521,39.39,1
IN00997,C02810,DV00710,11.76,20
IN00998,C01220,DV01110,38.08,16
IN00999,C02572,DV00309,35.90,12
IN01000,C02368,DV00689,35.98,23
IN01001,C02147,DV01227,35.29,17
IN01002,C02632,DV00439,25.20,15
IN01003,C01923,DV01601,24.26,20
IN01004,C01210,DV01687,6.51,6
IN01005,C01386,DV01132,13.07,14
IN01006,C01620,DV01027,37.33,10
IN01007,C02346,DV01179,6.31,15
IN01008,C02082,DV00411,34.48,10
IN01009,C01787,DV00526,34.02,20
IN01010,C02613,DV00785,27.66,13
IN01011,C02229,DV01436,33.53,20
IN01012,C02764,DV00133,29.20,16
IN01013,C02459,DV01569,42.64,8
IN01014,C01335,DV01090,13.82,13
IN01015,C02960,DV01312,30.96,13
IN01016,C01457,DV00277,5.31,24
IN01017,C02068,DV01198,28.29,13
IN01018,C01691,DV01662,33.71,18
IN01019,C02336,DV00669,28.80,18
IN01020,C01753,DV01789,9.93,20
IN01021,C01223,DV00305,8.07,9
IN01022,C01680,DV01771,30.87,18
IN01023,C02218,DV01181,7.49,11
IN01024,C02847,DV00660,21.70,15
IN01025,C01850,DV01332,32.89,2
IN01026,C02131,DV00619,32.04,21
IN01027,C02996,DV01198,31.25,24
IN01028,C01220,DV00311,26.50,5
IN01029,C02953,DV00597,14.71,15
IN01030,C01996,DV01174,12.53,17
IN01031,C01446,DV01032,30.57,18
IN01032,C02738,DV01796,34.90,3
IN01033,C02817,DV01710,15.14,14
IN01034,C02360,DV01585,22.97,8
IN01035,C02544,DV01078,36.52,13
IN01036,C01394,DV01755,37.55,5
IN01037,C02536,DV01639,21.29,9
IN01038,C01175,DV00245,21.53,2
IN01039,C02188,DV01579,28.94,18
IN01040,C01716,DV01528,23.30,9
IN01041,C01409,DV01727,34.19,13
IN01042,C01408,DV01240,35.74,8
IN01043,C02205,DV00021,12.44,21
IN01044,C01914,DV01475,6.03,13
IN01045,C02544,DV01674,5.24,1
IN01046,C01025,DV00593,17.08,1
IN01047,C02583,DV01376,5.98,18
IN01048,C02502,DV01252,13.41,24
IN01049,C01353,DV01083,37.77,3
IN01050,C01232,DV01028,28.37,12
IN01051,C02807,DV01450,15.81,0
IN01052,C02823,DV00651,21.25,5
IN01053,C02017,DV00977,42.11,12
IN01054,C02965,DV00642,32.40,2
IN01055,C02381,DV01697,28.56,13
IN01056,C02097,DV01549,17.53,16
IN01057,C01905,DV00088,23.88,24
IN01058,C02875,DV00150,26.77,16
IN01059,C01891,DV00951,38.26,8
IN01060,C01645,DV01606,44.88,4
IN01061,C01579,DV00292,20.27,10
IN01062,C02249,DV00812,9.58,23
IN01063,C01878,DV01349,38.67,20
IN01064,C02940,DV01304,32.05,18
IN01065,C01285,DV00600,21.44,2
IN01066,C01528,DV00421,24.26,6
IN01067,C01587,DV01071,18.14,23
IN01068,C01442,DV01361,43.49,12
IN01069,C02505,DV01343,14.69,11
IN01070,C01112,DV01421,33.60,10
IN01071,C02553,DV00132,9.87,24
IN01072,C02088,DV00242,6.53,17
IN01073,C02580,DV01538,18.28,13
IN01074,C02781,DV00729,44.79,9
IN01075,C02612,DV00896,31.08,0
IN01076,C02737,DV00057,34.75,4
IN01077,C02435,DV00173,6.39,9
IN01078,C02741,DV01246,15.63,16
IN01079,C02122,DV01388,8.05,5
IN01080,C02916,DV01780,23.92,4
IN01081,C01116,DV00498,34.84,14
IN01082,C01243,DV00101,41.12,0
IN01083,C02772,DV01598,10.91,1
IN01084,C02147,DV01345,26.06,4
IN01085,C02355,DV00689,32.09,0
IN01086,C01307,DV00067,28.91,1
IN01087,C02922,DV01287,5.11,10
IN01088,C01245,DV00575,25.74,2
IN01089,C01015,DV00822,37.30,18
IN01090,C02205,DV01422,26.01,21
IN01091,C01973,DV00013,36.26,18
IN01092,C02657,DV00096,27.00,8
IN01093,C01179,DV00173,34.01,23
IN01094,C01553,DV01404,34.92,6
IN01095,C02837,DV01300,29.60,16
IN01096,C02695,DV01040,28.14,1
IN01097,C02371,DV00560,16.58,1
IN01098,C02342,DV00262,36.54,12
IN01099,C01634,DV00876,30.19,23
IN01100,C02962,DV01175,24.92,21
IN01101,C02937,DV00858,40.08,13
IN01102,C02487,DV00350,21.91,14
IN01103,C02559,DV00875,22.54,20
IN01104,C02988,DV01783,23.13,4
IN01105,C01130,DV00527,19.36,9
IN01106,C02611,DV00733,38.30,15
IN01107,C01667,DV01009,42.84,3
IN01108,C01711,DV01121,17.14,13
IN01109,C02505,DV00802,5.90,9
IN01110,C01391,DV00395,34.51,22
IN01111,C02239,DV00592,16.99,0
IN01112,C02866,DV01041,32.34,16
IN01113,C01337,DV00271,7.48,3
IN01114,C01141,DV00827,30.64,11
IN01115,C02290,DV01634,26.16,2
IN01116,C02932,DV01397,7.14,17
IN01117,C02934,DV01658,44.32,12
IN01118,C02531,DV00243,35.91,12
IN01119,C01264,DV01452,33.17,10
IN01120,C02405,DV00145,7.07,16
IN01121,C01871,DV01055,36.80,9
IN01122,C01642,DV00571,29.83,13
IN01123,C01593,DV01001,32.59,9
IN01124,C01030,DV01414,42.30,15
IN01125,C02542,DV01035,10.18,7
IN01126,C01531,DV00350,8.84,21
IN01127,C01577,DV00080,22.05,12
IN01128,C02915,DV00858,40.55,2
IN01129,C02617,DV00047,5.94,3
IN01130,C02873,DV00534,26.18,24
IN01131,C02316,DV00908,10.03,11
IN01132,C02053,DV01187,6.45,19
IN01133,C01973,DV00645,34.20,24
IN01134,C02278,DV00334,41.52,13
IN01135,C02209,DV01618,44.00,0
IN01136,C02795,DV01741,20.76,19
IN01137,C01611,DV00665,42.68,4
IN01138,C02599,DV00959,14.77,24
IN01139,C02405,DV01032,28.98,17
IN01140,C02177,DV00011,30.74,8
IN01141,C01522,DV00451,11.40,8
IN01142,C01245,DV01374,14.80,2
IN01143,C01775,DV01169,40.28,15
IN01144,C01100,DV01123,31.83,8
IN01145,C01657,DV01502,38.27,8
IN01146,C01116,DV00417,42.63,10
IN01147,C01487,DV00411,21.23,24
IN01148,C02376,DV00052,22.72,19
IN01149,C02455,DV01362,23.02,3
IN01150,C02021,DV00156,40.23,3
IN01151,C02644,DV01266,13.65,9
IN01152,C01106,DV00731,6.76,21
IN01153,C01577,DV00758,27.04,8
IN01154,C01268,DV01685,30.42,8
IN01155,C01623,DV00646,8.31,18
IN01156,C01988,DV00685,6.86,8
IN01157,C01456,DV01376,7.51,15
IN01158,C02365,DV01009,29.49,20
IN01159,C01980,DV00651,18.36,7
IN01160,C02647,DV00583,18.07,1
IN01161,C02692,DV00378,40.01,15
IN01162,C01802,DV01199,17.38,20
IN01163,C01166,DV00328,38.84,2
IN01164,C01192,DV00113,30.31,1
IN01165,C02888,DV01562,28.25,7
IN01166,C01915,DV00271,6.18,8
IN01167,C02490,DV01525,17.72,4
IN01168,C01381,DV00859,18.76,10
IN01169,C01274,DV00812,6.52,17
IN01170,C01794,DV00677,10.35,18
IN01171,C01896,DV00835,14.63,23
IN01172,C02760,DV00261,19.37,5
IN01173,C02303,DV00660,13.86,11
IN01174,C02300,DV01067,6.51,20
IN01175,C02439,DV00957,34.96,9
IN01176,C01496,DV01101,37.32,23
IN01177,C02886,DV00248,13.43,9
IN01178,C02016,DV00876,21.87,13
IN01179,C01970,DV00674,40.32,5
IN01180,C02776,DV00761,27.55,1
IN01181,C02655,DV01429,6.26,19
IN01182,C01086,DV01553,17.59,18
IN01183,C02614,DV00748,22.63,23
IN01184,C01150,DV00522,42.74,1
IN01185,C02701,DV00174,7.07,1
IN01186,C01606,DV01082,41.99,11
IN01187,C01165,DV01165,18.20,11
IN01188,C01678,DV00460,44.99,9
IN01189,C02645,DV01665,42.17,1
IN01190,C01609,DV00709,6.15,5
IN01191,C02122,DV00232,27.81,19
IN01192,C02369,DV01180,29.24,20
IN01193,C01057,DV00471,11.15,5
IN01194,C01987,DV01724,19.85,3
IN01195,C02297,DV00239,14.76,14
IN01196,C01514,DV00166,24.71,4
IN01197,C02567,DV00172,30.61,2
IN01198,C02338,DV01730,17.95,14
IN01199,C02141,DV00429,29.27,6
IN01200,C02389,DV01292,13.82,16
